Jurisdiction,Crimes,Population,Crime_Rate
Adair_County,1043,25105,41.55
Andrew_County,263,17908,14.69
Atchinson_County,16,5159,3.10
Audrain_County,292,25020,11.67
Barry_County,950,34860,27.25
Barton_County,461,11694,39.42
Bates_County,525,16154,32.50
Benton_County,366,20405,17.94
Bollinger_County,228,10579,21.55
Boone_County,9588,187668,51.09
Buchanan_County,5867,83036,70.66
Butler_County,1417,42164,33.61
Caldwell_County,65,8982,7.24
Callaway_County,784,44958,17.44
Camden_County,1233,44065,27.98
Cape_Girardeau_County,3415,82378,41.46
Carroll_County,84,8286,10.14
Carter_County,31,5431,5.71
Cass_County,3080,111102,27.72
Cedar_County,288,14788,19.48
Chariton_County,148,7327,20.20
Christian_County,1736,93762,18.51
Clark_County,110,6837,16.09
Clay_County,5698,256932,22.18
Clinton_County,674,21354,31.56
Cole_County,2402,77155,31.13
Cooper_County,590,17128,34.45
Crawford_County,1275,22573,56.48
Dade_County,249,7606,32.74
Dallas_County,169,17573,9.62
Daviess_County,202,8365,24.15
DeKalb_County,107,11175,9.57
Dent_County,286,14435,19.81
Douglas_County,168,11865,14.16
Dunklin_County,1576,27244,57.85
Franklin_County,2682,105617,25.39
Gasconade_County,255,14826,17.20
Gentry_County,,6227,
Greene_County,18364,302456,60.72
Grundy_County,162,9704,16.69
Harrison_County,89,8167,10.90
Henry_County,601,22449,26.77
Hickory_County,68,8915,7.63
Holt_County,71,4263,16.65
Howard_County,168,10184,16.50
Howell_County,1629,40171,40.55
Iron_County,101,9295,10.87
Jackson_County,62731,715949,87.62
Jasper_County,7651,123453,61.98
Jefferson_County,5639,228446,24.68
Johnson_County,1508,54258,27.79
Knox_County,,3883,
Laclede_County,1125,36215,31.06
Lafayette_County,627,32610,19.23
Lawrence_County,946,38653,24.47
Lewis_County,120,9962,12.05
Lincoln_County,1287,63348,20.32
Linn_County,258,11828,21.81
Livingston_County,433,14940,28.98
McDonald_County,451,23464,19.22
Macon_County,392,15173,25.84
Madison_County,180,12695,14.18
Maries_County,26,8379,3.10
Marion_County,1203,28545,42.14
Mercer_County,5,3458,1.45
Miller_County,428,25067,17.07
Mississippi_County,428,12530,34.16
Moniteau_County,39,15492,2.52
Monroe_County,139,8751,15.88
Montgomery_County,278,11561,24.05
Morgan_County,359,21752,16.50
New_Madrid_County,605,15734,38.45
Newton_County,1903,60124,31.65
Nodaway_County,596,21086,28.27
Oregon_County,105,8639,12.15
Osage_County,159,13500,11.78
Ozark_County,120,9051,13.26
Pemiscot_County,346,14884,23.25
Perry_County,412,18870,21.83
Pettis_County,1130,43394,26.04
Phelps_County,2469,45327,54.47
Pike_County,460,17897,25.70
Platte_County,2097,109976,19.07
Polk_County,1197,32492,36.84
Pulaski_County,588,53628,10.96
Putnam_County,14,4744,2.95
Ralls_County,98,10363,9.46
Randolph_County,481,24867,19.34
Ray_County,717,22899,31.31
Reynolds_County,58,6091,9.52
Ripley_County,141,10546,13.37
St_Charles_County,9319,413431,22.54
St_Clair_County,164,9405,17.44
St_Francois_County,2960,68137,43.44
St_Louis_County,44537,990835,44.95
Ste_Genevieve_County,648,18687,34.68
Saline_County,895,23242,38.51
Schuyler_County,106,4040,26.24
Scotland_County,,4685,
Scott_County,1872,37644,49.73
Shannon_County,134,7167,18.70
Shelby_County,76,5850,12.99
Stoddard_County,1074,28286,37.97
Stone_County,1220,31901,38.24
Sullivan_County,85,5888,14.44
Taney_County,2214,56714,39.04
Texas_County,546,25555,21.37
Vernon_County,1484,19533,75.97
Warren_County,865,37319,23.18
Washington_County,1352,23488,57.56
Wayne_County,349,10907,32.00
Webster_County,984,40280,24.43
Worth_County,,2003,
Wright_County,223,19036,11.71
Terminal_Railroad_Association_PD,,,
MO_State_Hwy_Patrol,3408,,
St_Louis_Metropolitan_PD,36677,286053,128.22
MO_State_Highway_Patrol_Gaming_Division,,,
Statewide_Agencies,638,,
Albany CO SO,211,6000,35.17
Dubois Police Department,16,,
Laramie PD,992,32841,30.21
UNIV of WY PD,173,,
WYSAC,,,
Basin PD Big Horn,,1254,
Big Horn Sheriff,,6088,
Greybull PD,,1792,
Lovell PD,,2324,
Campbell CO SO,441,13997,31.51
Gillette PD,1846,32294,57.16
Carbon CO SO,,3458,
Hanna Marshal's Office,5,749,6.68
Medicine Bow Marshal's Office,1,255,3.92
Rawlins PD,,8413,
Saratoga PD,,1591,
Sinclair PD,,,
Converse CO SO,120,4711,25.47
Douglas PD,319,6404,49.81
Glenrock PD,57,2560,22.27
Crook CO SO,59,6049,9.75
Moorcroft PD,34,1091,31.16
Sundance PD,,,
Fremont CO SO,,20589,
Lander PD,,7452,
Riverton PD,1012,10823,93.50
Goshen CO SO,45,6077,7.40
Lingle PD,6,452,13.27
Torrington PD,267,6564,40.68
Hot Springs Sheriff,19,1601,11.87
Thermopolis PD,107,2747,38.95
Buffalo PD,128,4666,27.43
Johnson CO SO,79,3842,20.56
Kaycee PD,,,
Cheyenne PD,4514,65263,69.17
Laramie CO SO,610,34096,17.89
Pine Bluffs PD,26,1163,22.36
WY Div of Crim Investigation,484,,
WY Highway Patrol,1276,,
Afton PD,,2086,
Diamondville PD,5,769,6.50
Kemmerer PD,,2775,
Lincoln CO SO,219,13525,16.19
Casper PD,678,58840,11.52
Evansville PD,45,3046,14.77
Midwest PD,,,
Mills PD,159,4144,38.37
Natrona CO SO,147,14588,10.08
Wind River Agency,,,
Lusk PD,56,1465,38.23
Niobrara CO SO,18,769,23.41
Cody PD,228,9878,23.08
Park CO SO,155,13182,11.76
Powell PD,224,6108,36.67
Platte CO SO,,3835,
Wheatland PD,,3512,
Sheridan CO SO,144,12593,11.43
Sheridan PD,1103,18157,60.75
Sublette CO SO,68,9725,6.99
Green River PD,498,11729,42.46
Rock Springs PD,917,22937,39.98
Sweetwater CO SO,293,7522,38.95
Jackson PD,195,10672,18.27
Teton CO SO,159,12836,12.39
Evanston PD,523,11494,45.50
Mountain View PD,,,
Uinta CO SO,102,8448,12.07
Washakie CO SO,48,2668,17.99
Worland PD,69,4947,13.95
Newcastle PD,102,3293,30.97
Upton Police Department,22,1026,21.44
Weston CO SO,79,2318,34.08
Accomack County,1535,32769,46.84
Albemarle County,4110,108639,37.83
Alexandria City,6711,161050,41.67
Alleghany County,683,15144,45.10
Amelia County,507,12995,39.02
Amherst County,1046,31867,32.82
Appomattox County,335,15679,21.37
Arlington County,7533,241031,31.25
Augusta County,2557,75254,33.98
Bath County,88,4429,19.87
Bedford County,2364,78329,30.18
Bland County,123,6432,19.12
Botetourt County,1089,33288,32.71
Bristol City,1716,16877,101.68
Brunswick County,326,16481,19.78
Buchanan County,1244,21576,57.66
Buckingham County,404,16952,23.83
Buena Vista City,241,6351,37.95
Campbell County,2257,55425,40.72
Caroline County,1166,30292,38.49
Carroll County,1090,29141,37.40
Charles City County,124,7017,17.67
Charlotte County,423,12021,35.19
Charlottesville City,3296,49281,66.88
Chesapeake City,18353,243868,75.26
